Time (s),Satellite ID,Longitude (deg),X (km),Y (km),Z (km),VX,VY,VZ,ideal VX,ideal VY,ideal VZ,ideal x,ideal_y,ideal_z,Status
310,01,45.0,29021.19120830193,30292.082625681855,11.698863928717877,-2.243982146003385,1.1240648215996147,-0.2034884758662108,0.0,0.0,0,29127.90560995472,30475.855423229197,0,non-stationkeeping
320,01,45.0,28997.395398567613,30303.057320308795,9.257577129512152,-2.3795809734316737,1.0974694626940245,-0.2441286799205726,0.0,0.0,0,29105.668847222933,30497.09313944194,0,non-stationkeeping
330,01,45.0,28972.205446676442,30313.82595160375,6.025712105121851,-2.5189951891171427,1.0768631294954187,-0.32318650243903,0.0,0.0,0,29083.4165996681,30518.314630564877,0,non-stationkeeping
340,01,45.0,28947.110953045576,30325.351721613486,3.5856036127097304,-2.5094493630867367,1.1525770009736938,-0.24401084924121208,0.0,0.0,0,29061.14887912888,30539.51988530773,0,non-stationkeeping
350,01,45.0,28922.4097963035,30335.77831980189,1.6775539528331214,-2.470115674207744,1.042659818840607,-0.1908049659876609,0.0,0.0,0,29038.86569745216,30560.708892388877,0,non-stationkeeping
360,01,45.0,28898.271069152026,30345.809521951538,1.1051399015979444,-2.4138727151473915,1.0031202149647533,-0.05724140512351769,0.0,0.0,0,29016.567066493055,30581.88164053531,0,non-stationkeeping
370,01,45.0,28874.232277786326,30357.75277118639,-0.8086319947718332,-2.403879136569877,1.1943249234854696,-0.19137718963697775,0.0,0.0,0,28994.252998114905,30603.03811848269,0,non-stationkeeping
380,01,45.0,28848.995044984542,30367.83870032883,-3.499229248546123,-2.523723280178521,1.0085929142436831,-0.26905972537742895,0.0,0.0,0,28971.92350418927,30624.178314975332,0,non-stationkeeping
390,01,45.0,28821.056783673994,30376.701649835417,-5.542480136510549,-2.79382613105492,0.8862949506586772,-0.2043250887964426,0.0,0.0,0,28949.578596595897,30645.302218766203,0,non-stationkeeping
400,01,45.0,28793.48251006989,30384.846263863292,-7.9639243420708645,-2.7574273604104578,0.8144614027875724,-0.2421444205560315,0.0,0.0,0,28927.218287222742,30666.409818616954,0,non-stationkeeping
410,01,45.0,28765.298405231435,30392.625327105987,-10.878936105403897,-2.8184104838455903,0.7779063242693568,-0.2915011763333032,0.0,0.0,0,28904.842587965955,30687.501103297895,0,non-stationkeeping
420,01,45.0,28736.914831341954,30400.084750398055,-15.85665354498162,-2.8383573889482494,0.7459423292068318,-0.49777174395777235,0.0,0.0,0,28882.45151072988,30708.576061588024,0,non-stationkeeping
430,01,45.0,28707.43158610152,30407.146068947182,-20.322049930474464,-2.948324524043453,0.7061318549127323,-0.44653963854928436,0.0,0.0,0,28860.04506742704,30729.634682275027,0,non-stationkeeping
440,01,45.0,28677.28416948214,30414.604384898008,-23.882768824966313,-3.0147416619381775,0.7458315950827256,-0.3560718894491848,0.0,0.0,0,28837.62326997812,30750.676954155275,0,non-stationkeeping
450,01,45.0,28646.29178646067,30422.56854951741,-28.74549155434584,-3.099238302146747,0.7964164619403097,-0.48627227293795294,0.0,0.0,0,28815.186130311995,30771.70286603384,0,non-stationkeeping
460,01,45.0,28613.048763717383,30430.014998395098,-33.908408670628816,-3.324302274328721,0.7446448877688376,-0.5162917116282977,0.0,0.0,0,28792.73366036568,30792.7124067245,0,non-stationkeeping
470,01,45.0,28579.81865168526,30434.51855153898,-38.164529787623906,-3.323011203212271,0.45035531438809545,-0.4256121116995093,0.0,0.0,0,28770.26587208437,30813.705565049746,0,non-stationkeeping
480,01,45.0,28545.958090518663,30440.456812927496,-42.20447871021314,-3.386056116659414,0.5938261388515633,-0.40399489225892354,0.0,0.0,0,28747.782777421387,30834.682329840765,0,non-stationkeeping
490,01,45.0,28511.055687144948,30446.914359213133,-44.509424176154866,-3.4902403373716333,0.6457546285637863,-0.23049454659417273,0.0,0.0,0,28725.284388338212,30855.642689937493,0,non-stationkeeping
500,01,45.0,28478.30512444332,30453.375417127412,-47.44290039988863,-3.27505627016298,0.6461057914278562,-0.2933476223733762,0.0,0.0,0,28702.77071680445,30876.586634188578,0,non-stationkeeping
510,01,45.0,28444.00699841716,30459.83027249767,-50.90880106633215,-3.429812602615899,0.6454855370258505,-0.34659006664435216,0.0,0.0,0,28680.241774797854,30897.514151451403,0,non-stationkeeping
520,01,45.0,28409.248614750966,30469.347811693384,-54.25204246889726,-3.475838366619339,0.9517539195712728,-0.3343241402565107,0.0,0.0,0,28657.697574304286,30918.4252305921,0,non-stationkeeping
530,01,45.0,28375.584078458225,30480.665196658698,-57.82959856950604,-3.366453629274164,1.1317384965312998,-0.3577556100608778,0.0,0.0,0,28635.138127317732,30939.31986048553,0,non-stationkeeping
540,01,45.0,28341.70661554514,30491.536584064954,-63.01486535761602,-3.3877462913086593,1.087138740625513,-0.5185266788109977,0.0,0.0,0,28612.56344584029,30960.19803001531,0,non-stationkeeping
550,01,45.0,28306.800144271558,30502.056657651054,-67.38507387754085,-3.4906471273582738,1.0520073586100331,-0.4370208519924828,0.0,0.0,0,28589.973541882155,30981.05972807383,0,non-stationkeeping
560,01,45.0,28271.20097960498,30513.343226001987,-72.21388366423774,-3.5599164666579077,1.128656835093506,-0.4828809786696892,0.0,0.0,0,28567.368427461635,31001.90494356223,0,non-stationkeeping
570,01,45.0,28233.06165733423,30523.186592334314,-76.36354206743863,-3.813932227074703,0.9843366332326711,-0.41496584032008826,0.0,0.0,0,28544.748114605118,31022.733665390417,0,non-stationkeeping
