Time (s),Satellite ID,Longitude (deg),X (km),Y (km),Z (km),VX,VY,VZ,ideal VX,ideal VY,ideal VZ,ideal x,ideal_y,ideal_z,Status,Sun X (km),Sun Y (km),Sun Z (km),Moon X (km),Moon Y (km),Moon Z (km)
0,01,45.0,29788.147107928555,29833.891240380126,0.7646095979077026,-2.1369311784566674,2.4374795991611142,0.07646091911243141,-2.1353466552728286,2.4390665898845816,0.07646095979077025,29809.500574481284,29809.50057448128,0.0,non-stationkeeping,149597870.7,0.0,0.0,271811.84668810887,271811.84668810887,0.0
10,01,45.0,29765.731148502833,29857.33607302898,1.5891485398075105,-2.2431791871270503,2.342895113408056,0.0824538096495769,-2.241595942572072,2.3444832648852127,0.08245389418998078,29787.749668034976,29831.235621651384,0.0,non-stationkeeping,149597870.69970348,297.8473548702006,0.0,271804.61177718703,271819.0814064617,0.0
20,01,45.0,29743.348771785015,29881.328146355434,2.365197047238005,-2.2398195904913063,2.3976180408025654,0.0776047249287438,-2.2382376717818655,2.3992073326456325,0.07760485074304946,29765.98291388439,29852.954797981765,0.0,non-stationkeeping,149597870.69881397,595.6947097392207,0.0,271797.3766737012,271826.3159322404,0.0
30,01,45.0,29721.665908771975,29905.284056839806,3.1726509324056638,-2.1698668761426396,2.3940006741440434,0.08074521977109972,-2.168286301303856,2.395591048437203,0.08074538851676588,29744.20032360989,29874.65809191739,0.0,non-stationkeeping,149597870.69733143,893.5420646058793,0.0,271790.14137765666,271833.5502654398,0.0
40,01,45.0,29699.30814596599,29930.50533279315,3.7457576404195425,-2.2373554257014763,2.5205361222554004,0.05731047160391587,-2.2357762805983383,2.5221275953343127,0.05731067080138788,29722.40190880028,29896.34549191164,0.0,non-stationkeeping,149597870.6952559,1191.3894194689958,0.0,271782.9058890585,271840.7844060548,0.0
50,01,45.0,29676.679899083487,29957.37284319307,2.9344574997693633,-2.264402276737376,2.6851584949396954,-0.08113017008301852,-2.2628246882503364,2.686751039991949,-0.08113001406501791,29700.587681052766,29918.01698642637,0.0,non-stationkeeping,149597870.69258735,1489.2367743273896,0.0,271775.67020791175,271848.01835408027,0.0
60,01,45.0,29653.872290511026,29984.62634816536,3.046053580615584,-2.28233686033464,2.7237568803358188,0.01115944617163547,-2.2807608572460367,2.725350497229101,0.011159608084622089,29678.757651972963,29939.672563931894,0.0,non-stationkeeping,149597870.6893258,1787.0841291798804,0.0,271768.43433422165,271855.2521095111,0.0
70,01,45.0,29631.61491298748,30012.467504457185,2.6456608981332033,-2.227312106519329,2.7825210044435638,-0.04003940883674408,-2.225737752354767,2.7841156291827676,-0.0400392682482381,29656.91183317492,29961.312212906985,0.0,non-stationkeeping,149597870.68547124,2084.931484025287,0.0,271761.1982679932,271862.4856723422,0.0
80,01,45.0,29609.185159020202,30040.737435557534,2.4722338142034177,-2.2445480697451683,2.8253974796621404,-0.017342839724831048,-2.2429753967277213,2.8269931100349828,-0.01734270839297855,29635.05023628105,29982.935921838918,0.0,non-stationkeeping,149597870.68102366,2382.778838862428,0.0,271753.96200923173,271869.71904256835,0.0
90,01,45.0,29587.865234809844,30067.65878519674,1.675066932551766,-2.1335634898178437,2.6905383829451055,-0.0797167771226114,-2.13199242103597,2.6921349639208705,-0.07971668816516517,29613.17287292219,30004.543679223407,0.0,non-stationkeeping,149597870.67598307,2680.626193690124,0.0,271746.7255579422,271876.9522201845,0.0
100,01,45.0,29566.082752419457,30095.928851850767,1.092804598080507,-2.1798176056228744,2.825409138497305,-0.05822629146231725,-2.178248239038507,2.827006665402516,-0.05822623344712591,29591.279754737552,30026.135473564686,0.0,non-stationkeeping,149597870.67034948,2978.4735485071947,0.0,271739.4889141297,271884.18520518544,0.0
110,01,45.0,29542.938510343585,30123.83920976984,0.05454316840106532,-2.315991932384483,2.7894372047431215,-0.10382614586278793,-2.3144242075870674,2.7910357919074027,-0.10382614296794418,29569.370893374733,30047.71129337546,0.0,non-stationkeeping,149597870.66412288,3276.320903312459,0.0,271732.2520777995,271891.4179975661,0.0
120,01,45.0,29519.4861796183,30153.15324424989,-1.4079422215407318,-2.3467990488633785,2.929803819818366,-0.14624846429258184,-2.345233072528491,2.9314034480048976,-0.14624853899417972,29547.4463004897,30069.271127176955,0.0,non-stationkeeping,149597870.65730324,3574.168258104735,0.0,271725.0150489567,271898.6505973214,0.0
