Time (s),Satellite ID,Longitude (deg),X (km),Y (km),Z (km),VX,VY,VZ,ideal VX,ideal VY,ideal VZ,ideal x,ideal_y,ideal_z,Status
100,01,45.0,29578.53904395999,30063.404427841408,15.224766773968547,-2.2398595344836263,2.3340159558301274,0.12866309297080147,-2.238287808939568,2.3356134472141337,0.12866390203540204,29591.279754737552,30026.135473564686,0,non-stationkeeping
110,01,45.0,29556.911802468538,30086.7351728292,15.935269402145064,-2.1642945606741284,2.331475935414102,0.0710494160848459,-2.162724149145463,2.3330744987794563,0.07105026281765162,29569.370893374733,30047.71129337546,0,non-stationkeeping
120,01,45.0,29535.68938413126,30109.43640128056,17.690705427669652,-2.123810968809222,2.268523227365903,0.17554266263238189,-2.1222418337280025,2.2701228451359268,0.17554360255245893,29547.4463004897,30069.271127176955,0,non-stationkeeping
130,01,45.0,29512.683727228472,30134.21194385268,18.79373993406329,-2.3021334257833677,2.4759535042916663,0.11030245222721634,-2.3005656902786167,2.4775542572119336,0.11030345063936389,29525.50598774679,30090.814963498884,0,non-stationkeeping
140,01,45.0,29488.820114329617,30158.898302469934,19.640107589554603,-2.3879276514712773,2.467033906126509,0.08463572224472339,-2.386361289885466,2.4686358617256405,0.08463676554913124,29503.54996681872,30112.342790879477,0,non-stationkeeping
150,01,45.0,29463.38888786084,30183.602105979222,20.43368521360509,-2.544687668851772,2.4687770716356123,0.07935667693712832,-2.5431226468774266,2.4703803509289903,0.07935776240504896,29481.57824938654,30133.854597865477,0,non-stationkeeping
160,01,45.0,29438.06176465584,30210.071172895794,21.61877445025066,-2.5342758563549572,2.645302150888682,0.1185077753463403,-2.5327123205002517,2.6469066916570676,0.11850892366455656,29459.59084713967,30155.350373012163,0,non-stationkeeping
170,01,45.0,29411.86418672387,30235.52210333794,22.41005776880431,-2.6213199419636957,2.5434871472167884,0.07912714150347483,-2.6197577931967646,2.5450930442145903,0.07912833185536519,29437.58777177586,30176.830104883324,0,non-stationkeeping
180,01,45.0,29386.543966632795,30259.7365718958,22.836852796631447,-2.5335828445050175,2.419839640290519,0.04267828973635926,-2.5320220091074996,2.421446855785926,0.042679502782713534,29415.569035001205,30198.293782051303,0,non-stationkeeping
190,01,45.0,29360.983355081997,30284.67878932751,23.608982160439293,-2.5576206216426214,2.492613214455985,0.07721168232953052,-2.5560611550798398,2.494221743171039,0.07721293638078466,29393.534648530134,30219.741393096967,0,non-stationkeeping
